ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= -22.979285707231192;	 p_value= 2.391195303312757e-115;
ART_AND_DESIGN VS GAME:	 statistic= -4.878591999016876;	 p_value= 1.0707456253968328e-06;
AUTO_AND_VEHICLES VS BEAUTY:	 statistic= 22.068547876106106;	 p_value= 1.989229464705467e-106;
AUTO_AND_VEHICLES VS BUSINESS:	 statistic= -6.733494542195749;	 p_value= 1.7214205083181918e-11;
AUTO_AND_VEHICLES VS COMMUNICATION:	 statistic= 12.49018967598622;	 p_value= 1.355642961240684e-35;
AUTO_AND_VEHICLES VS DATING:	 statistic= -2.531359268585529;	 p_value= 0.011371321295726563;
AUTO_AND_VEHICLES VS EDUCATION:	 statistic= 10.390859935351594;	 p_value= 3.2836392191601567e-25;
AUTO_AND_VEHICLES VS ENTERTAINMENT:	 statistic= 9.572943718263021;	 p_value= 1.1842313248371902e-21;
AUTO_AND_VEHICLES VS EVENTS:	 statistic= -7.608496669150902;	 p_value= 2.907199328174091e-14;
AUTO_AND_VEHICLES VS FINANCE:	 statistic= -23.566158621002998;	 p_value= 1.4534660244139676e-120;
AUTO_AND_VEHICLES VS FOOD_AND_DRINK:	 statistic= -18.67065032180867;	 p_value= 3.849664399670679e-77;
AUTO_AND_VEHICLES VS HOUSE_AND_HOME:	 statistic= -12.596858886787254;	 p_value= 3.052919704547147e-36;
AUTO_AND_VEHICLES VS LIBRARIES_AND_DEMO:	 statistic= 15.74098400808658;	 p_value= 2.0106687449465204e-55;
AUTO_AND_VEHICLES VS LIFESTYLE:	 statistic= -4.421256908216077;	 p_value= 9.869689180772426e-06;
AUTO_AND_VEHICLES VS MAPS_AND_NAVIGATION:	 statistic= 4.389129286090269;	 p_value= 1.1439513132354709e-05;
AUTO_AND_VEHICLES VS MEDICAL:	 statistic= -19.050910114872092;	 p_value= 3.1338264802008083e-80;
AUTO_AND_VEHICLES VS MUSIC_AND_AUDIO:	 statistic= 15.158744619768248;	 p_value= 1.7491699066280297e-51;
AUTO_AND_VEHICLES VS NEWS_AND_MAGAZINES:	 statistic= 5.069674079241366;	 p_value= 4.031771147253892e-07;
AUTO_AND_VEHICLES VS PARENTING:	 statistic= -15.54893236115451;	 p_value= 3.106879740993701e-54;
AUTO_AND_VEHICLES VS PERSONALIZATION:	 statistic= 28.41218139830215;	 p_value= 1.427188664570306e-173;
AUTO_AND_VEHICLES VS PHOTOGRAPHY:	 statistic= 9.003020618057727;	 p_value= 2.5021675761399723e-19;
AUTO_AND_VEHICLES VS PRODUCTIVITY:	 statistic= 8.42215387589294;	 p_value= 4.0661728355287426e-17;
AUTO_AND_VEHICLES VS SOCIAL:	 statistic= 4.06441452274899;	 p_value= 4.841701773762568e-05;
AUTO_AND_VEHICLES VS TOOLS:	 statistic= 9.240917785975888;	 p_value= 2.758722402077794e-20;
AUTO_AND_VEHICLES VS TRAVEL_AND_LOCAL:	 statistic= -6.45726589180022;	 p_value= 1.1031215859316907e-10;
AUTO_AND_VEHICLES VS VIDEO_PLAYERS:	 statistic= 11.31135296361709;	 p_value= 1.613982524731992e-29;
AUTO_AND_VEHICLES VS WEATHER:	 statistic= 6.861987938956713;	 p_value= 7.050651601049705e-12;
AUTO_AND_VEHICLES VS GAME:	 statistic= 26.868863476358094;	 p_value= 2.9338131095691977e-158;
BEAUTY VS BOOKS_AND_REFERENCE:	 statistic= -17.022740994891862;	 p_value= 7.03114604033769e-64;
BEAUTY VS BUSINESS:	 statistic= -23.22406260017185;	 p_value= 8.637206991692802e-116;
BEAUTY VS COMICS:	 statistic= -29.46323905155987;	 p_value= 3.1680934265294655e-186;
BEAUTY VS DATING:	 statistic= -21.62461619093655;	 p_value= 1.1929302104350653e-101;
BEAUTY VS EDUCATION:	 statistic= -9.799656826273788;	 p_value= 1.4052255617363433e-22;
BEAUTY VS ENTERTAINMENT:	 statistic= -10.822164821216118;	 p_value= 3.693589894420247e-27;
BEAUTY VS EVENTS:	 statistic= -26.596725943330288;	 p_value= 7.915712267628851e-152;
BEAUTY VS FINANCE:	 statistic= -38.63709693585638;	 p_value= 2.2416616178405657e-303;
BEAUTY VS FOOD_AND_DRINK:	 statistic= -34.429135369074444;	 p_value= 5.2901836945647684e-250;
BEAUTY VS HEALTH_AND_FITNESS:	 statistic= -9.821163463096592;	 p_value= 1.295424048583972e-22;
BEAUTY VS HOUSE_AND_HOME:	 statistic= -27.924616463353896;	 p_value= 4.76408784544533e-167;
BEAUTY VS LIBRARIES_AND_DEMO:	 statistic= -4.253583537295515;	 p_value= 2.120859060547931e-05;
BEAUTY VS LIFESTYLE:	 statistic= -23.56944833040054;	 p_value= 2.6672762125137977e-120;
BEAUTY VS MAPS_AND_NAVIGATION:	 statistic= -17.581271912243103;	 p_value= 1.753716193987584e-68;
BEAUTY VS MEDICAL:	 statistic= -35.207132220294156;	 p_value= 2.792224704607368e-261;
BEAUTY VS NEWS_AND_MAGAZINES:	 statistic= -14.287683277626233;	 p_value= 7.398307250274982e-46;
BEAUTY VS PARENTING:	 statistic= -32.23965827674782;	 p_value= 1.866417425424761e-221;
BEAUTY VS PERSONALIZATION:	 statistic= 5.97491270216768;	 p_value= 2.3676810994228916e-09;
BEAUTY VS PHOTOGRAPHY:	 statistic= -4.976990292589692;	 p_value= 6.600210988432228e-07;
BEAUTY VS PRODUCTIVITY:	 statistic= -7.146010951653237;	 p_value= 9.693310944994772e-13;
BEAUTY VS SHOPPING:	 statistic= -16.84903503242042;	 p_value= 1.3034262257700191e-62;
BEAUTY VS SOCIAL:	 statistic= -13.348870657282975;	 p_value= 2.985323914702766e-40;
BEAUTY VS SPORTS:	 statistic= -20.740734866609653;	 p_value= 4.688428239222901e-94;
BEAUTY VS TOOLS:	 statistic= -9.614137426894183;	 p_value= 8.6394523138674e-22;
BEAUTY VS TRAVEL_AND_LOCAL:	 statistic= -23.477699145918997;	 p_value= 5.804727158370883e-118;
BEAUTY VS WEATHER:	 statistic= -12.81372120049989;	 p_value= 2.6782215371558394e-37;
BEAUTY VS GAME:	 statistic= -7.01586718686947;	 p_value= 2.3062960023550136e-12;
BOOKS_AND_REFERENCE VS BUSINESS:	 statistic= -3.3252292171893623;	 p_value= 0.0008897220900511613;
BOOKS_AND_REFERENCE VS COMICS:	 statistic= 3.036213170996091;	 p_value= 0.002400166662844167;
BOOKS_AND_REFERENCE VS COMMUNICATION:	 statistic= 11.12928862673092;	 p_value= 2.2907200704404793e-28;
BOOKS_AND_REFERENCE VS EDUCATION:	 statistic= 8.530305112077542;	 p_value= 1.7629136060112463e-17;
BOOKS_AND_REFERENCE VS ENTERTAINMENT:	 statistic= 7.843847422139873;	 p_value= 4.971301087415725e-15;
BOOKS_AND_REFERENCE VS EVENTS:	 statistic= -3.01155442224085;	 p_value= 0.002605982041442143;
BOOKS_AND_REFERENCE VS FINANCE:	 statistic= -13.440025174121908;	 p_value= 1.387471931148333e-40;
BOOKS_AND_REFERENCE VS FOOD_AND_DRINK:	 statistic= -8.913417182143274;	 p_value= 5.70522392968398e-19;
BOOKS_AND_REFERENCE VS HEALTH_AND_FITNESS:	 statistic= 2.0277029741630073;	 p_value= 0.04267448592534585;
BOOKS_AND_REFERENCE VS HOUSE_AND_HOME:	 statistic= -5.621496567342827;	 p_value= 1.9416084539000135e-08;
BOOKS_AND_REFERENCE VS LIBRARIES_AND_DEMO:	 statistic= 11.690039623285777;	 p_value= 2.6464089073349446e-31;
BOOKS_AND_REFERENCE VS MAPS_AND_NAVIGATION:	 statistic= 4.252882742206982;	 p_value= 2.127873697219338e-05;
BOOKS_AND_REFERENCE VS MEDICAL:	 statistic= -9.066501221711661;	 p_value= 1.4202145812635098e-19;
BOOKS_AND_REFERENCE VS MUSIC_AND_AUDIO:	 statistic= 13.00697750730352;	 p_value= 4.923175186170846e-38;
BOOKS_AND_REFERENCE VS NEWS_AND_MAGAZINES:	 statistic= 4.954225674061581;	 p_value= 7.448292859289607e-07;
BOOKS_AND_REFERENCE VS PARENTING:	 statistic= -6.954632458083682;	 p_value= 3.696172279893603e-12;
BOOKS_AND_REFERENCE VS PERSONALIZATION:	 statistic= 22.23866581633756;	 p_value= 1.6613495968623808e-106;
BOOKS_AND_REFERENCE VS PHOTOGRAPHY:	 statistic= 8.292967866108414;	 p_value= 1.489355814306638e-16;
BOOKS_AND_REFERENCE VS PRODUCTIVITY:	 statistic= 7.377028422197476;	 p_value= 1.9033330327144477e-13;
BOOKS_AND_REFERENCE VS SOCIAL:	 statistic= 4.2805186860144255;	 p_value= 1.8984772686363535e-05;
BOOKS_AND_REFERENCE VS TOOLS:	 statistic= 7.648914756589444;	 p_value= 2.3190695678706575e-14;
BOOKS_AND_REFERENCE VS TRAVEL_AND_LOCAL:	 statistic= -3.4496511290273504;	 p_value= 0.0005664604785641417;
BOOKS_AND_REFERENCE VS VIDEO_PLAYERS:	 statistic= 10.328264240582726;	 p_value= 1.1924453014649142e-24;
BOOKS_AND_REFERENCE VS WEATHER:	 statistic= 6.230658886481351;	 p_value= 4.933252138381224e-10;
BOOKS_AND_REFERENCE VS GAME:	 statistic= 15.265099501333262;	 p_value= 1.6106870887135472e-52;
BUSINESS VS COMICS:	 statistic= 9.968968332746222;	 p_value= 2.4829762262097663e-23;
BUSINESS VS COMMUNICATION:	 statistic= 15.042447847619531;	 p_value= 5.835930439367873e-50;
BUSINESS VS DATING:	 statistic= 4.101621064156208;	 p_value= 4.142142155116146e-05;
BUSINESS VS EDUCATION:	 statistic= 13.610949535832834;	 p_value= 1.0510099811502204e-41;
BUSINESS VS ENTERTAINMENT:	 statistic= 12.908673067752634;	 p_value= 9.529882188091937e-38;
BUSINESS VS FINANCE:	 statistic= -10.97064600628177;	 p_value= 9.33614379503671e-28;
BUSINESS VS FOOD_AND_DRINK:	 statistic= -5.634226655512125;	 p_value= 1.798670168238382e-08;
BUSINESS VS HEALTH_AND_FITNESS:	 statistic= 4.580584611605619;	 p_value= 4.791392375587154e-06;
BUSINESS VS HOUSE_AND_HOME:	 statistic= -2.3144329255582647;	 p_value= 0.020662368444669173;
BUSINESS VS LIBRARIES_AND_DEMO:	 statistic= 16.940041135995155;	 p_value= 2.7496029009251834e-63;
BUSINESS VS LIFESTYLE:	 statistic= 3.0903165757395397;	 p_value= 0.0020049920691073576;
BUSINESS VS MAPS_AND_NAVIGATION:	 statistic= 9.409590234432244;	 p_value= 5.927183442530191e-21;
BUSINESS VS MEDICAL:	 statistic= -5.695164728597998;	 p_value= 1.2605011775115964e-08;
BUSINESS VS MUSIC_AND_AUDIO:	 statistic= 17.48465541447628;	 p_value= 1.3786388708140832e-66;
BUSINESS VS NEWS_AND_MAGAZINES:	 statistic= 9.567373796430836;	 p_value= 1.4909654808925754e-21;
BUSINESS VS PARENTING:	 statistic= -3.332352257081916;	 p_value= 0.0008633652259213474;
BUSINESS VS PERSONALIZATION:	 statistic= 29.00966539550077;	 p_value= 7.14363457173561e-177;
BUSINESS VS PHOTOGRAPHY:	 statistic= 12.020076878575173;	 p_value= 8.754090594526242e-33;
BUSINESS VS PRODUCTIVITY:	 statistic= 11.371954347435162;	 p_value= 1.2874330553874153e-29;
BUSINESS VS SHOPPING:	 statistic= 3.7900452417474533;	 p_value= 0.00015244559356704843;
BUSINESS VS SOCIAL:	 statistic= 8.400135569233253;	 p_value= 5.583444150775681e-17;
BUSINESS VS SPORTS:	 statistic= 6.010703397106877;	 p_value= 1.910958198201003e-09;
BUSINESS VS TOOLS:	 statistic= 12.36824091830637;	 p_value= 8.910461989941423e-35;
BUSINESS VS VIDEO_PLAYERS:	 statistic= 13.572140372107075;	 p_value= 4.777127703592516e-41;
BUSINESS VS WEATHER:	 statistic= 11.016835822367451;	 p_value= 5.3594142589717845e-28;
BUSINESS VS GAME:	 statistic= 23.079738241043582;	 p_value= 2.1738262140903907e-117;
COMICS VS COMMUNICATION:	 statistic= 18.114757098847374;	 p_value= 1.799397747821485e-72;
COMICS VS DATING:	 statistic= -4.199227984578457;	 p_value= 2.691933797778431e-05;
COMICS VS EDUCATION:	 statistic= 13.143356765354584;	 p_value= 2.9360359556411343e-39;
COMICS VS ENTERTAINMENT:	 statistic= 11.842120838394504;	 p_value= 3.178296618195604e-32;
COMICS VS EVENTS:	 statistic= -10.428536878206287;	 p_value= 2.156300611110163e-25;
COMICS VS FINANCE:	 statistic= -31.167877187259705;	 p_value= 9.462836872075645e-207;
COMICS VS FOOD_AND_DRINK:	 statistic= -23.005036617867507;	 p_value= 1.200986451704323e-115;
COMICS VS HOUSE_AND_HOME:	 statistic= -15.704442607906655;	 p_value= 3.052339429130793e-55;
COMICS VS LIBRARIES_AND_DEMO:	 statistic= 19.90103773211493;	 p_value= 3.984402283543752e-87;
COMICS VS LIFESTYLE:	 statistic= -6.465058515517114;	 p_value= 1.0377716457390913e-10;
COMICS VS MAPS_AND_NAVIGATION:	 statistic= 4.4331360768630725;	 p_value= 9.33619456160373e-06;
COMICS VS MEDICAL:	 statistic= -23.446518666309014;	 p_value= 4.881317475935247e-120;
COMICS VS MUSIC_AND_AUDIO:	 statistic= 21.618563250793702;	 p_value= 5.560473633371403e-102;
COMICS VS NEWS_AND_MAGAZINES:	 statistic= 6.046062551423662;	 p_value= 1.5180609020196451e-09;
COMICS VS PARENTING:	 statistic= -19.064109278205365;	 p_value= 2.115809775275519e-80;
COMICS VS PERSONALIZATION:	 statistic= 39.079073125465115;	 p_value= 0.0;
COMICS VS PHOTOGRAPHY:	 statistic= 12.821488845883433;	 p_value= 2.0738156689727183e-37;
COMICS VS PRODUCTIVITY:	 statistic= 11.286444252761077;	 p_value= 2.054630223258376e-29;
COMICS VS SHOPPING:	 statistic= -2.311658684558966;	 p_value= 0.02081139497747376;
COMICS VS SOCIAL:	 statistic= 4.950150433981527;	 p_value= 7.499689955196174e-07;
COMICS VS TOOLS:	 statistic= 11.639556786522567;	 p_value= 3.479684572361306e-31;
COMICS VS TRAVEL_AND_LOCAL:	 statistic= -9.99301662385723;	 p_value= 1.966285796762972e-23;
COMICS VS VIDEO_PLAYERS:	 statistic= 16.819055418871347;	 p_value= 8.463607226060249e-63;
COMICS VS WEATHER:	 statistic= 8.515981029563793;	 p_value= 1.799140042607347e-17;
COMICS VS GAME:	 statistic= 27.626943047374215;	 p_value= 3.707662755687321e-167;
COMMUNICATION VS DATING:	 statistic= -12.992174576609735;	 p_value= 3.601469295871146e-38;
COMMUNICATION VS EDUCATION:	 statistic= -5.665675763561586;	 p_value= 1.525439863620646e-08;
COMMUNICATION VS ENTERTAINMENT:	 statistic= -6.2481375497805;	 p_value= 4.3952978379900696e-10;
COMMUNICATION VS EVENTS:	 statistic= -15.631430230778427;	 p_value= 2.290984153027613e-54;
COMMUNICATION VS FINANCE:	 statistic= -23.95199092121475;	 p_value= 1.331798207142762e-120;
COMMUNICATION VS FOOD_AND_DRINK:	 statistic= -19.828787226205975;	 p_value= 5.561853539384605e-86;
COMMUNICATION VS HEALTH_AND_FITNESS:	 statistic= -7.539852928659965;	 p_value= 6.399449538851928e-14;
COMMUNICATION VS HOUSE_AND_HOME:	 statistic= -15.956663698640629;	 p_value= 1.2780623788521847e-56;
COMMUNICATION VS LIFESTYLE:	 statistic= -13.780301458769667;	 p_value= 9.184612908818977e-43;
COMMUNICATION VS MAPS_AND_NAVIGATION:	 statistic= -10.007643110631;	 p_value= 1.7976749394725717e-23;
COMMUNICATION VS MEDICAL:	 statistic= -20.25623477676363;	 p_value= 1.159380103854536e-89;
COMMUNICATION VS NEWS_AND_MAGAZINES:	 statistic= -8.872112273127994;	 p_value= 9.359379264111364e-19;
COMMUNICATION VS PARENTING:	 statistic= -18.31708663615308;	 p_value= 5.034153983051494e-74;
COMMUNICATION VS PERSONALIZATION:	 statistic= 5.518083849072932;	 p_value= 3.5354076917207554e-08;
COMMUNICATION VS PHOTOGRAPHY:	 statistic= -3.169174010402121;	 p_value= 0.0015417170288505582;
COMMUNICATION VS PRODUCTIVITY:	 statistic= -4.387168085572472;	 p_value= 1.1763414310188065e-05;
COMMUNICATION VS SHOPPING:	 statistic= -11.539422448074752;	 p_value= 2.5942028431095682e-30;
COMMUNICATION VS SOCIAL:	 statistic= -8.742143996064533;	 p_value= 3.1409792849467667e-18;
COMMUNICATION VS SPORTS:	 statistic= -12.090156721544355;	 p_value= 2.139054300355522e-33;
COMMUNICATION VS TOOLS:	 statistic= -5.600229282674225;	 p_value= 2.234759696909398e-08;
COMMUNICATION VS TRAVEL_AND_LOCAL:	 statistic= -16.31948203171451;	 p_value= 5.005741377215102e-58;
COMMUNICATION VS WEATHER:	 statistic= -7.87075230612125;	 p_value= 4.144883192514396e-15;
COMMUNICATION VS GAME:	 statistic= -2.933650391719681;	 p_value= 0.0033511878541549133;
DATING VS EDUCATION:	 statistic= 11.095081596137142;	 p_value= 1.9197097541130153e-28;
DATING VS ENTERTAINMENT:	 statistic= 10.340436582125912;	 p_value= 6.061760050415109e-25;
DATING VS EVENTS:	 statistic= -3.9567528111635313;	 p_value= 7.639049614913972e-05;
DATING VS FINANCE:	 statistic= -17.814795077153974;	 p_value= 8.365770237914877e-70;
DATING VS FOOD_AND_DRINK:	 statistic= -12.4808916079811;	 p_value= 1.4470279984002474e-35;
DATING VS HEALTH_AND_FITNESS:	 statistic= 2.4173780236625992;	 p_value= 0.015660939840647967;
DATING VS HOUSE_AND_HOME:	 statistic= -7.838684734971121;	 p_value= 4.889532762129521e-15;
DATING VS LIBRARIES_AND_DEMO:	 statistic= 15.456150623812693;	 p_value= 2.5523700694369163e-53;
DATING VS MAPS_AND_NAVIGATION:	 statistic= 6.002738996591707;	 p_value= 1.987729954969325e-09;
DATING VS MEDICAL:	 statistic= -12.70553362276795;	 p_value= 8.509055893597737e-37;
DATING VS MUSIC_AND_AUDIO:	 statistic= 15.490795175631085;	 p_value= 2.4119956877177975e-53;
DATING VS NEWS_AND_MAGAZINES:	 statistic= 6.440594377932528;	 p_value= 1.2473588459209557e-10;
DATING VS PARENTING:	 statistic= -9.791636805786961;	 p_value= 1.4059506633441926e-22;
DATING VS PERSONALIZATION:	 statistic= 27.62327219912828;	 p_value= 1.0629597126853864e-162;
DATING VS PHOTOGRAPHY:	 statistic= 9.748416796503738;	 p_value= 2.5757649287021665e-22;
DATING VS PRODUCTIVITY:	 statistic= 9.142191515966202;	 p_value= 7.672006152944693e-20;
DATING VS SOCIAL:	 statistic= 5.404846383069983;	 p_value= 6.666402805836882e-08;
DATING VS SPORTS:	 statistic= 2.0351927822312557;	 p_value= 0.04185208308658764;
DATING VS TOOLS:	 statistic= 9.959576770057204;	 p_value= 2.9625194517769137e-23;
DATING VS TRAVEL_AND_LOCAL:	 statistic= -4.082923380700467;	 p_value= 4.4925116995131195e-05;
DATING VS VIDEO_PLAYERS:	 statistic= 11.765140739986071;	 p_value= 1.217861642782618e-31;
DATING VS WEATHER:	 statistic= 8.042720323594557;	 p_value= 9.814653410034752e-16;
DATING VS GAME:	 statistic= 23.107526840587592;	 p_value= 1.1017659190900273e-117;
EDUCATION VS EVENTS:	 statistic= -15.443132483293668;	 p_value= 2.7122085202406776e-53;
EDUCATION VS FINANCE:	 statistic= -27.598295714670073;	 p_value= 1.2668074324058441e-160;
EDUCATION VS FOOD_AND_DRINK:	 statistic= -23.17130014861293;	 p_value= 1.423725036189809e-116;
EDUCATION VS HEALTH_AND_FITNESS:	 statistic= -3.6636147679633324;	 p_value= 0.00025092701944512375;
EDUCATION VS HOUSE_AND_HOME:	 statistic= -17.84179705641811;	 p_value= 2.2922384146799826e-70;
EDUCATION VS LIBRARIES_AND_DEMO:	 statistic= 4.661282825369504;	 p_value= 3.18226088644568e-06;
EDUCATION VS LIFESTYLE:	 statistic= -12.776888086033367;	 p_value= 3.86119696444641e-37;
EDUCATION VS MAPS_AND_NAVIGATION:	 statistic= -6.504404006795627;	 p_value= 8.074342349805587e-11;
EDUCATION VS MEDICAL:	 statistic= -23.671712077752264;	 p_value= 1.4167499356502039e-121;
EDUCATION VS MUSIC_AND_AUDIO:	 statistic= 7.1852710493570715;	 p_value= 7.366997133384028e-13;
EDUCATION VS NEWS_AND_MAGAZINES:	 statistic= -4.322376757202939;	 p_value= 1.5602189705347938e-05;
EDUCATION VS PARENTING:	 statistic= -20.9183507909332;	 p_value= 6.751674952280692e-96;
EDUCATION VS PERSONALIZATION:	 statistic= 15.68615418567279;	 p_value= 7.411335407568018e-55;
EDUCATION VS PHOTOGRAPHY:	 statistic= 2.196506029084573;	 p_value= 0.028090397807497558;
EDUCATION VS SHOPPING:	 statistic= -8.155880310210652;	 p_value= 4.081770250984491e-16;
EDUCATION VS SOCIAL:	 statistic= -4.206484786235985;	 p_value= 2.6230660100744737e-05;
EDUCATION VS SPORTS:	 statistic= -9.82099635683244;	 p_value= 1.1097583952251415e-22;
EDUCATION VS TRAVEL_AND_LOCAL:	 statistic= -13.635779739217153;	 p_value= 8.250303261603613e-42;
EDUCATION VS VIDEO_PLAYERS:	 statistic= 5.942864480523221;	 p_value= 2.9572369862901645e-09;
EDUCATION VS WEATHER:	 statistic= -2.8436074551175383;	 p_value= 0.004470515073012555;
EDUCATION VS GAME:	 statistic= 5.597081755483834;	 p_value= 2.188301047045198e-08;
ENTERTAINMENT VS EVENTS:	 statistic= -14.788990341171788;	 p_value= 4.500834974053475e-49;
ENTERTAINMENT VS FINANCE:	 statistic= -27.168484123067557;	 p_value= 3.457906790675515e-156;
ENTERTAINMENT VS FOOD_AND_DRINK:	 statistic= -22.83929898340615;	 p_value= 2.0008702176373764e-113;
ENTERTAINMENT VS HEALTH_AND_FITNESS:	 statistic= -3.105713116756325;	 p_value= 0.001906910635137127;
ENTERTAINMENT VS HOUSE_AND_HOME:	 statistic= -17.454248199347223;	 p_value= 1.7760663455310597e-67;
ENTERTAINMENT VS LIBRARIES_AND_DEMO:	 statistic= 5.586997346030869;	 p_value= 2.3674173207948256e-08;
ENTERTAINMENT VS LIFESTYLE:	 statistic= -12.083115409757951;	 p_value= 2.003639777408687e-33;
ENTERTAINMENT VS MAPS_AND_NAVIGATION:	 statistic= -5.612868956727206;	 p_value= 2.0280243215912786e-08;
ENTERTAINMENT VS MEDICAL:	 statistic= -23.33258392798961;	 p_value= 2.741507905807797e-118;
ENTERTAINMENT VS MUSIC_AND_AUDIO:	 statistic= 7.855135267553827;	 p_value= 4.53248070417519e-15;
ENTERTAINMENT VS NEWS_AND_MAGAZINES:	 statistic= -3.4557010212951385;	 p_value= 0.0005513011326903581;
ENTERTAINMENT VS PARENTING:	 statistic= -20.537395812391367;	 p_value= 1.4176039718474615e-92;
ENTERTAINMENT VS PERSONALIZATION:	 statistic= 16.703867609486593;	 p_value= 6.729435553316085e-62;
ENTERTAINMENT VS PHOTOGRAPHY:	 statistic= 2.8275579378755222;	 p_value= 0.004703816893050629;
ENTERTAINMENT VS SHOPPING:	 statistic= -7.417311334836386;	 p_value= 1.3299602620411018e-13;
ENTERTAINMENT VS SOCIAL:	 statistic= -3.404528280457715;	 p_value= 0.00066600142490586;
ENTERTAINMENT VS SPORTS:	 statistic= -9.025819366657835;	 p_value= 2.0406707224192321e-19;
ENTERTAINMENT VS TRAVEL_AND_LOCAL:	 statistic= -12.829718941347544;	 p_value= 2.7664634991121715e-37;
ENTERTAINMENT VS VIDEO_PLAYERS:	 statistic= 6.377532914764977;	 p_value= 1.9250278856738543e-10;
ENTERTAINMENT VS GAME:	 statistic= 7.0949644941637615;	 p_value= 1.3064012656382052e-12;
EVENTS VS FINANCE:	 statistic= -15.44115113840165;	 p_value= 3.1976052149143236e-53;
EVENTS VS FOOD_AND_DRINK:	 statistic= -9.41208790569174;	 p_value= 5.501541411253545e-21;
EVENTS VS HEALTH_AND_FITNESS:	 statistic= 4.342209361987276;	 p_value= 1.4278135156876764e-05;
EVENTS VS HOUSE_AND_HOME:	 statistic= -4.638385961853432;	 p_value= 3.540344028836828e-06;
EVENTS VS LIBRARIES_AND_DEMO:	 statistic= 20.099478814536937;	 p_value= 1.8305177581923708e-88;
EVENTS VS LIFESTYLE:	 statistic= 2.70646913280398;	 p_value= 0.006808367825861113;
EVENTS VS MAPS_AND_NAVIGATION:	 statistic= 11.022039708617529;	 p_value= 3.785158072940039e-28;
EVENTS VS MEDICAL:	 statistic= -9.548933274793677;	 p_value= 1.4860801476514182e-21;
EVENTS VS MUSIC_AND_AUDIO:	 statistic= 18.611326141563737;	 p_value= 5.463805405526314e-76;
