ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= 8.79067901992308;	 p_value= 1.6053715899921308e-18;
AUTO_AND_VEHICLES VS PRODUCTIVITY:	 statistic= 3.347993613095035;	 p_value= 0.0008162123635624487;
AUTO_AND_VEHICLES VS SHOPPING:	 statistic= 17.67804296386749;	 p_value= 3.889395955529566e-69;
AUTO_AND_VEHICLES VS SOCIAL:	 statistic= 25.23325169393557;	 p_value= 2.0362344166628304e-137;
AUTO_AND_VEHICLES VS SPORTS:	 statistic= 10.911720872080734;	 p_value= 1.2310054778921916e-27;
AUTO_AND_VEHICLES VS TOOLS:	 statistic= 9.084534872876816;	 p_value= 1.1663355802772347e-19;
AUTO_AND_VEHICLES VS TRAVEL_AND_LOCAL:	 statistic= 17.377773654742228;	 p_value= 6.642211269331742e-67;
AUTO_AND_VEHICLES VS VIDEO_PLAYERS:	 statistic= 2.1767248591239454;	 p_value= 0.029520100076623503;
AUTO_AND_VEHICLES VS WEATHER:	 statistic= 6.148595025827605;	 p_value= 8.010685796823374e-10;
BEAUTY VS BOOKS_AND_REFERENCE:	 statistic= 7.318516835435168;	 p_value= 2.7459379053793723e-13;
BEAUTY VS BUSINESS:	 statistic= 8.801715728372422;	 p_value= 1.6082069593970552e-18;
BEAUTY VS COMICS:	 statistic= -54.1029363730042;	 p_value= 0.0;
BEAUTY VS COMMUNICATION:	 statistic= 9.972724278514251;	 p_value= 2.779848143578726e-23;
BEAUTY VS DATING:	 statistic= 9.400811449140154;	 p_value= 6.454943302991467e-21;
BEAUTY VS EDUCATION:	 statistic= -12.158114585616437;	 p_value= 8.665842721850052e-34;
BEAUTY VS ENTERTAINMENT:	 statistic= -2.6012657068468665;	 p_value= 0.00930037898970744;
BEAUTY VS FOOD_AND_DRINK:	 statistic= 20.286384022756145;	 p_value= 2.813022115411741e-90;
BEAUTY VS HEALTH_AND_FITNESS:	 statistic= -5.326968306514206;	 p_value= 1.0310882561570089e-07;
BEAUTY VS HOUSE_AND_HOME:	 statistic= 12.453086339910248;	 p_value= 2.0701864446393982e-35;
BEAUTY VS LIBRARIES_AND_DEMO:	 statistic= 4.430927648051853;	 p_value= 9.472006455956158e-06;
BEAUTY VS MAPS_AND_NAVIGATION:	 statistic= -5.05903506488002;	 p_value= 4.265262697094889e-07;
BEAUTY VS MEDICAL:	 statistic= 17.32268874310882;	 p_value= 1.346573802570785e-66;
BEAUTY VS MUSIC_AND_AUDIO:	 statistic= -11.20143885611804;	 p_value= 6.451616191397401e-29;
BEAUTY VS PARENTING:	 statistic= -11.335534859901166;	 p_value= 1.1155161705918128e-29;
BEAUTY VS PERSONALIZATION:	 statistic= -10.945033133807891;	 p_value= 9.504317472495146e-28;
BEAUTY VS PHOTOGRAPHY:	 statistic= 8.814980714295489;	 p_value= 1.4659226119525174e-18;
BEAUTY VS PRODUCTIVITY:	 statistic= -7.028635764525242;	 p_value= 2.251418558008461e-12;
BEAUTY VS SHOPPING:	 statistic= 6.1503506492000515;	 p_value= 8.106442541976174e-10;
BEAUTY VS SOCIAL:	 statistic= 11.373099862295364;	 p_value= 9.226516281366606e-30;
BEAUTY VS SPORTS:	 statistic= -4.936729179037201;	 p_value= 8.041568201252331e-07;
BEAUTY VS TOOLS:	 statistic= -4.112518336709495;	 p_value= 3.944692318042938e-05;
BEAUTY VS TRAVEL_AND_LOCAL:	 statistic= 5.6316071751614105;	 p_value= 1.8453152815461308e-08;
BEAUTY VS VIDEO_PLAYERS:	 statistic= -5.506356025186504;	 p_value= 3.792881852553412e-08;
BEAUTY VS WEATHER:	 statistic= -6.938767549004678;	 p_value= 4.197816286080364e-12;
BEAUTY VS GAME:	 statistic= -19.02584855010703;	 p_value= 1.6792054463959647e-80;
BOOKS_AND_REFERENCE VS COMICS:	 statistic= -54.419654954934224;	 p_value= 0.0;
BOOKS_AND_REFERENCE VS COMMUNICATION:	 statistic= 2.709212195381953;	 p_value= 0.006772304819757737;
BOOKS_AND_REFERENCE VS EDUCATION:	 statistic= -16.985516861219956;	 p_value= 1.8213225797727052e-63;
BOOKS_AND_REFERENCE VS ENTERTAINMENT:	 statistic= -9.111840865166503;	 p_value= 1.0221117981508515e-19;
BOOKS_AND_REFERENCE VS EVENTS:	 statistic= -7.70570498274625;	 p_value= 1.4317528981689834e-14;
BOOKS_AND_REFERENCE VS FINANCE:	 statistic= -5.791993084030412;	 p_value= 7.3146595682727915e-09;
BOOKS_AND_REFERENCE VS FOOD_AND_DRINK:	 statistic= 6.828610739839229;	 p_value= 9.013333078123339e-12;
BOOKS_AND_REFERENCE VS HEALTH_AND_FITNESS:	 statistic= -9.298131021425164;	 p_value= 2.592257900107411e-20;
BOOKS_AND_REFERENCE VS LIBRARIES_AND_DEMO:	 statistic= -3.761503644064381;	 p_value= 0.00017015861781156312;
BOOKS_AND_REFERENCE VS LIFESTYLE:	 statistic= -6.348555512298505;	 p_value= 2.2742096018697357e-10;
BOOKS_AND_REFERENCE VS MAPS_AND_NAVIGATION:	 statistic= -11.506300588147743;	 p_value= 1.8343052110285046e-30;
BOOKS_AND_REFERENCE VS MEDICAL:	 statistic= 4.610404383063126;	 p_value= 4.060671618519572e-06;
BOOKS_AND_REFERENCE VS MUSIC_AND_AUDIO:	 statistic= -15.98299406354339;	 p_value= 4.691333172873317e-56;
BOOKS_AND_REFERENCE VS NEWS_AND_MAGAZINES:	 statistic= -6.506002300720139;	 p_value= 8.30141491040826e-11;
BOOKS_AND_REFERENCE VS PARENTING:	 statistic= -16.665301233970098;	 p_value= 9.579644558075839e-62;
BOOKS_AND_REFERENCE VS PERSONALIZATION:	 statistic= -15.786464051220717;	 p_value= 2.4022784178833614e-55;
BOOKS_AND_REFERENCE VS PRODUCTIVITY:	 statistic= -12.164814054084218;	 p_value= 1.5209999606691177e-33;
BOOKS_AND_REFERENCE VS SOCIAL:	 statistic= 2.830696144313824;	 p_value= 0.004662696205904109;
BOOKS_AND_REFERENCE VS SPORTS:	 statistic= -11.518587061083382;	 p_value= 1.6849702341165213e-30;
BOOKS_AND_REFERENCE VS TOOLS:	 statistic= -10.164472283638291;	 p_value= 4.3140015697466675e-24;
BOOKS_AND_REFERENCE VS VIDEO_PLAYERS:	 statistic= -9.886969043010492;	 p_value= 9.464528073380812e-23;
BOOKS_AND_REFERENCE VS WEATHER:	 statistic= -12.799212686775675;	 p_value= 4.595193209226874e-37;
BOOKS_AND_REFERENCE VS GAME:	 statistic= -21.920603357030014;	 p_value= 4.002439217037097e-106;
BUSINESS VS COMICS:	 statistic= -59.56879183630832;	 p_value= 0.0;
BUSINESS VS COMMUNICATION:	 statistic= 2.176129304170813;	 p_value= 0.02959621248772444;
BUSINESS VS EDUCATION:	 statistic= -19.11083099158504;	 p_value= 1.4307402331093627e-79;
BUSINESS VS ENTERTAINMENT:	 statistic= -10.695312112103563;	 p_value= 1.613973190208735e-26;
BUSINESS VS EVENTS:	 statistic= -9.282517515713046;	 p_value= 1.9994934948141223e-20;
BUSINESS VS FINANCE:	 statistic= -7.015353590326878;	 p_value= 2.5297041699062537e-12;
BUSINESS VS FOOD_AND_DRINK:	 statistic= 6.4590223111945075;	 p_value= 1.0951668121240641e-10;
BUSINESS VS HEALTH_AND_FITNESS:	 statistic= -10.196578928079663;	 p_value= 4.302122980111826e-24;
BUSINESS VS LIBRARIES_AND_DEMO:	 statistic= -4.935798884508397;	 p_value= 8.140942677097325e-07;
BUSINESS VS LIFESTYLE:	 statistic= -7.802102736722547;	 p_value= 6.704866528304803e-15;
BUSINESS VS MAPS_AND_NAVIGATION:	 statistic= -13.45316769500028;	 p_value= 6.029320112136917e-41;
BUSINESS VS MEDICAL:	 statistic= 4.04732963449442;	 p_value= 5.211942665604919e-05;
BUSINESS VS MUSIC_AND_AUDIO:	 statistic= -17.64981755927031;	 p_value= 8.81551442072848e-68;
BUSINESS VS NEWS_AND_MAGAZINES:	 statistic= -7.824219783966928;	 p_value= 5.8714969590160686e-15;
BUSINESS VS PARENTING:	 statistic= -19.16297212712832;	 p_value= 8.001259320348301e-81;
BUSINESS VS PERSONALIZATION:	 statistic= -17.94180041641419;	 p_value= 9.739190534104246e-71;
BUSINESS VS PRODUCTIVITY:	 statistic= -13.62736371336444;	 p_value= 1.4144182509359254e-41;
BUSINESS VS SOCIAL:	 statistic= 2.2564858039949263;	 p_value= 0.024078295009987337;
BUSINESS VS SPORTS:	 statistic= -13.420398449822953;	 p_value= 1.0229107250492297e-40;
BUSINESS VS TOOLS:	 statistic= -11.751861223799132;	 p_value= 1.3622418324649967e-31;
BUSINESS VS TRAVEL_AND_LOCAL:	 statistic= -2.1139997949431635;	 p_value= 0.034564596849226394;
BUSINESS VS VIDEO_PLAYERS:	 statistic= -10.922741987287091;	 p_value= 2.1960403561274913e-27;
BUSINESS VS WEATHER:	 statistic= -14.571676031348698;	 p_value= 2.07037938643333e-47;
BUSINESS VS GAME:	 statistic= -25.340766783630787;	 p_value= 5.425800417402176e-141;
COMICS VS COMMUNICATION:	 statistic= 55.8431428733283;	 p_value= 0.0;
COMICS VS DATING:	 statistic= 66.90962539893664;	 p_value= 0.0;
COMICS VS EDUCATION:	 statistic= 35.68796986152967;	 p_value= 1.0628615702031494e-268;
COMICS VS ENTERTAINMENT:	 statistic= 48.64410314712617;	 p_value= 0.0;
COMICS VS EVENTS:	 statistic= 56.42490713576666;	 p_value= 0.0;
COMICS VS FINANCE:	 statistic= 49.939049642362484;	 p_value= 0.0;
COMICS VS FOOD_AND_DRINK:	 statistic= 87.44151402422055;	 p_value= 0.0;
COMICS VS HEALTH_AND_FITNESS:	 statistic= 21.53469011965808;	 p_value= 5.200600375278171e-101;
COMICS VS HOUSE_AND_HOME:	 statistic= 75.24163613159472;	 p_value= 0.0;
COMICS VS LIBRARIES_AND_DEMO:	 statistic= 59.070555472407335;	 p_value= 0.0;
COMICS VS LIFESTYLE:	 statistic= 57.996126914499946;	 p_value= 0.0;
COMICS VS MAPS_AND_NAVIGATION:	 statistic= 51.165149903190546;	 p_value= 0.0;
COMICS VS MEDICAL:	 statistic= 83.39885407954054;	 p_value= 0.0;
COMICS VS MUSIC_AND_AUDIO:	 statistic= 27.753245133190315;	 p_value= 4.521630755441245e-165;
COMICS VS NEWS_AND_MAGAZINES:	 statistic= 51.14478516128074;	 p_value= 0.0;
COMICS VS PARENTING:	 statistic= 47.389746274622134;	 p_value= 0.0;
COMICS VS PERSONALIZATION:	 statistic= 38.996007112494574;	 p_value= 0.0;
COMICS VS PHOTOGRAPHY:	 statistic= 53.03817823379517;	 p_value= 0.0;
COMICS VS PRODUCTIVITY:	 statistic= 33.217165126693104;	 p_value= 6.623616444730263e-233;
COMICS VS SHOPPING:	 statistic= 51.54471587097762;	 p_value= 0.0;
COMICS VS SOCIAL:	 statistic= 62.610246322762514;	 p_value= 0.0;
COMICS VS SPORTS:	 statistic= 50.90245598767448;	 p_value= 0.0;
COMICS VS TOOLS:	 statistic= 44.4142155134757;	 p_value= 0.0;
COMICS VS TRAVEL_AND_LOCAL:	 statistic= 51.272944094723684;	 p_value= 0.0;
COMICS VS VIDEO_PLAYERS:	 statistic= 25.279258847567952;	 p_value= 1.3347960877292542e-137;
COMICS VS WEATHER:	 statistic= 42.0698230479864;	 p_value= 0.0;
COMICS VS GAME:	 statistic= 47.57689224420064;	 p_value= 0.0;
COMMUNICATION VS DATING:	 statistic= -3.2340128323749218;	 p_value= 0.0012260993706560842;
COMMUNICATION VS EDUCATION:	 statistic= -19.10362526920692;	 p_value= 2.965018973397586e-79;
COMMUNICATION VS ENTERTAINMENT:	 statistic= -11.567729719870032;	 p_value= 1.1340514054487761e-30;
COMMUNICATION VS EVENTS:	 statistic= -10.421342930521527;	 p_value= 2.7570405742115206e-25;
COMMUNICATION VS FINANCE:	 statistic= -8.35050627887961;	 p_value= 8.542504926857117e-17;
COMMUNICATION VS FOOD_AND_DRINK:	 statistic= 2.8646510024934755;	 p_value= 0.004182712777685094;
COMMUNICATION VS HEALTH_AND_FITNESS:	 statistic= -11.040600881093285;	 p_value= 9.55046013145111e-28;
COMMUNICATION VS HOUSE_AND_HOME:	 statistic= -2.048138799104981;	 p_value= 0.04057248225646988;
COMMUNICATION VS LIBRARIES_AND_DEMO:	 statistic= -6.602878093757144;	 p_value= 4.3210361018413836e-11;
COMMUNICATION VS LIFESTYLE:	 statistic= -9.11391981120677;	 p_value= 9.6775353916595e-20;
COMMUNICATION VS MAPS_AND_NAVIGATION:	 statistic= -13.969540021905727;	 p_value= 5.918625691018092e-44;
COMMUNICATION VS MUSIC_AND_AUDIO:	 statistic= -18.073644526307024;	 p_value= 1.9717980788206716e-70;
COMMUNICATION VS NEWS_AND_MAGAZINES:	 statistic= -9.113617816331397;	 p_value= 1.070267373420725e-19;
COMMUNICATION VS PARENTING:	 statistic= -18.956142975383656;	 p_value= 4.450460530062049e-79;
COMMUNICATION VS PERSONALIZATION:	 statistic= -17.880501114997084;	 p_value= 3.956435320610549e-70;
COMMUNICATION VS PRODUCTIVITY:	 statistic= -14.319157364070447;	 p_value= 1.8916719753864016e-45;
COMMUNICATION VS SHOPPING:	 statistic= -3.3898573764984565;	 p_value= 0.0007062705755394332;
COMMUNICATION VS SPORTS:	 statistic= -14.047500277670421;	 p_value= 2.3038473443841813e-44;
COMMUNICATION VS TOOLS:	 statistic= -12.528824434459958;	 p_value= 1.42930109339612e-35;
COMMUNICATION VS TRAVEL_AND_LOCAL:	 statistic= -3.914619557131774;	 p_value= 9.204226029121923e-05;
COMMUNICATION VS VIDEO_PLAYERS:	 statistic= -11.779037309868325;	 p_value= 2.4415648326587258e-31;
COMMUNICATION VS WEATHER:	 statistic= -15.181156892299446;	 p_value= 4.0522219216708467e-51;
COMMUNICATION VS GAME:	 statistic= -23.821966322473116;	 p_value= 6.840268690148509e-125;
DATING VS EDUCATION:	 statistic= -21.08662396715305;	 p_value= 1.1392073616371634e-96;
DATING VS ENTERTAINMENT:	 statistic= -11.617808304283088;	 p_value= 5.138403977772879e-31;
DATING VS EVENTS:	 statistic= -10.077733023131486;	 p_value= 8.523083756883946e-24;
DATING VS FINANCE:	 statistic= -7.091055119588459;	 p_value= 1.4307492526306915e-12;
DATING VS FOOD_AND_DRINK:	 statistic= 9.435968907989526;	 p_value= 4.4538478117321304e-21;
DATING VS HEALTH_AND_FITNESS:	 statistic= -9.950602180804623;	 p_value= 3.7104527887056525e-23;
DATING VS HOUSE_AND_HOME:	 statistic= 2.020093934290613;	 p_value= 0.04339318487351177;
DATING VS LIBRARIES_AND_DEMO:	 statistic= -4.767256136921669;	 p_value= 1.8919314406046417e-06;
DATING VS LIFESTYLE:	 statistic= -8.307888796840862;	 p_value= 1.0738842130766258e-16;
DATING VS MAPS_AND_NAVIGATION:	 statistic= -15.327956677854162;	 p_value= 1.3191032988257686e-52;
DATING VS MEDICAL:	 statistic= 6.445167917557471;	 p_value= 1.1898274236578134e-10;
DATING VS MUSIC_AND_AUDIO:	 statistic= -18.351327511309847;	 p_value= 1.068034232194616e-73;
DATING VS NEWS_AND_MAGAZINES:	 statistic= -8.045661229666953;	 p_value= 9.599143640507762e-16;
DATING VS PARENTING:	 statistic= -22.475263837427818;	 p_value= 3.067833133269588e-110;
DATING VS PERSONALIZATION:	 statistic= -20.287680437390524;	 p_value= 6.052149443484202e-90;
DATING VS PHOTOGRAPHY:	 statistic= 2.260676534578232;	 p_value= 0.02380910681459442;
DATING VS PRODUCTIVITY:	 statistic= -14.111072779589499;	 p_value= 1.136926399348921e-44;
DATING VS SOCIAL:	 statistic= 3.5609943117807936;	 p_value= 0.00037152150592616054;
DATING VS SPORTS:	 statistic= -15.005992591834863;	 p_value= 1.8047854862389143e-50;
DATING VS TOOLS:	 statistic= -12.63478852808652;	 p_value= 2.6235952900959178e-36;
DATING VS VIDEO_PLAYERS:	 statistic= -10.80061087503664;	 p_value= 5.733221850745844e-27;
DATING VS WEATHER:	 statistic= -15.65924606292914;	 p_value= 1.3352191419260423e-54;
DATING VS GAME:	 statistic= -32.56810473972546;	 p_value= 6.864789387779245e-231;
EDUCATION VS ENTERTAINMENT:	 statistic= 9.234229471800521;	 p_value= 3.124135170499634e-20;
EDUCATION VS EVENTS:	 statistic= 12.625507528259472;	 p_value= 2.591190573287039e-36;
EDUCATION VS FINANCE:	 statistic= 11.868535446381163;	 p_value= 3.102860874345481e-32;
EDUCATION VS FOOD_AND_DRINK:	 statistic= 32.53455291702422;	 p_value= 7.8356945683652115e-224;
EDUCATION VS HOUSE_AND_HOME:	 statistic= 24.865854887734784;	 p_value= 2.174932483555528e-133;
EDUCATION VS LIBRARIES_AND_DEMO:	 statistic= 16.125034712754367;	 p_value= 8.778702575878343e-58;
EDUCATION VS LIFESTYLE:	 statistic= 14.048392413441324;	 p_value= 1.7786741920527696e-44;
EDUCATION VS MAPS_AND_NAVIGATION:	 statistic= 8.343709401717533;	 p_value= 7.891596313921532e-17;
EDUCATION VS MEDICAL:	 statistic= 29.741497670123607;	 p_value= 9.963742566561164e-189;
EDUCATION VS NEWS_AND_MAGAZINES:	 statistic= 11.77591619304762;	 p_value= 8.893762746237567e-32;
EDUCATION VS PARENTING:	 statistic= 3.566147507204467;	 p_value= 0.00036331259169653706;
EDUCATION VS PHOTOGRAPHY:	 statistic= 17.700246856992706;	 p_value= 1.5705719087689977e-68;
EDUCATION VS PRODUCTIVITY:	 statistic= 2.607213773805442;	 p_value= 0.009146868695886098;
EDUCATION VS SHOPPING:	 statistic= 15.566933543035514;	 p_value= 9.854494591854473e-54;
EDUCATION VS SOCIAL:	 statistic= 21.47760676356803;	 p_value= 1.960738545117175e-99;
EDUCATION VS SPORTS:	 statistic= 8.293137917537038;	 p_value= 1.2182942278196007e-16;
EDUCATION VS TOOLS:	 statistic= 7.238467281033847;	 p_value= 4.905642046006427e-13;
EDUCATION VS TRAVEL_AND_LOCAL:	 statistic= 15.156318203975419;	 p_value= 4.3327895090064446e-51;
EDUCATION VS WEATHER:	 statistic= 4.8061194237951455;	 p_value= 1.5634562666055967e-06;
ENTERTAINMENT VS EVENTS:	 statistic= 2.6177550681842434;	 p_value= 0.008861748345778945;
ENTERTAINMENT VS FINANCE:	 statistic= 3.3274358123340684;	 p_value= 0.0008800668537170738;
ENTERTAINMENT VS FOOD_AND_DRINK:	 statistic= 22.32535319061451;	 p_value= 1.503683272459098e-108;
ENTERTAINMENT VS HEALTH_AND_FITNESS:	 statistic= -3.9044265483988188;	 p_value= 9.546730280059291e-05;
ENTERTAINMENT VS HOUSE_AND_HOME:	 statistic= 14.762120924834571;	 p_value= 6.220228573143234e-49;
ENTERTAINMENT VS LIBRARIES_AND_DEMO:	 statistic= 6.7972096841152805;	 p_value= 1.1240729323187507e-11;
ENTERTAINMENT VS LIFESTYLE:	 statistic= 4.185890610963664;	 p_value= 2.8602183897651045e-05;
ENTERTAINMENT VS MAPS_AND_NAVIGATION:	 statistic= -2.002667083684779;	 p_value= 0.04523240853591918;
ENTERTAINMENT VS MEDICAL:	 statistic= 19.493960003756335;	 p_value= 1.363844065031821e-83;
ENTERTAINMENT VS MUSIC_AND_AUDIO:	 statistic= -8.879303192209743;	 p_value= 8.259188677402395e-19;
ENTERTAINMENT VS NEWS_AND_MAGAZINES:	 statistic= 2.8822418015358418;	 p_value= 0.00395755722553142;
ENTERTAINMENT VS PARENTING:	 statistic= -7.748160178147218;	 p_value= 9.861151422815532e-15;
ENTERTAINMENT VS PERSONALIZATION:	 statistic= -7.917974902005353;	 p_value= 2.6389969856218632e-15;
ENTERTAINMENT VS PHOTOGRAPHY:	 statistic= 10.39255347239351;	 p_value= 4.086122278284366e-25;
ENTERTAINMENT VS PRODUCTIVITY:	 statistic= -4.838358991122115;	 p_value= 1.3347687854721424e-06;
ENTERTAINMENT VS SHOPPING:	 statistic= 7.917566325802554;	 p_value= 2.7804591988661343e-15;
ENTERTAINMENT VS SOCIAL:	 statistic= 13.157783592158342;	 p_value= 3.864369959889205e-39;
ENTERTAINMENT VS TRAVEL_AND_LOCAL:	 statistic= 7.442092540902351;	 p_value= 1.1018804027839538e-13;
ENTERTAINMENT VS VIDEO_PLAYERS:	 statistic= -3.8835676168529334;	 p_value= 0.00010396987955434576;
ENTERTAINMENT VS WEATHER:	 statistic= -4.268440012328378;	 p_value= 1.9875715115561787e-05;
ENTERTAINMENT VS GAME:	 statistic= -14.229702333385854;	 p_value= 6.974585391384832e-46;
EVENTS VS FOOD_AND_DRINK:	 statistic= 21.85521064670672;	 p_value= 2.213199055387462e-104;
EVENTS VS HEALTH_AND_FITNESS:	 statistic= -5.3859665700359;	 p_value= 7.408740361054352e-08;
EVENTS VS HOUSE_AND_HOME:	 statistic= 13.436328530318647;	 p_value= 6.302945823563186e-41;
EVENTS VS LIBRARIES_AND_DEMO:	 statistic= 4.814884330455125;	 p_value= 1.4900477389785247e-06;
EVENTS VS MAPS_AND_NAVIGATION:	 statistic= -5.244431016073067;	 p_value= 1.5877820039637577e-07;
EVENTS VS MEDICAL:	 statistic= 18.70962905514787;	 p_value= 2.5167068661751765e-77;
EVENTS VS MUSIC_AND_AUDIO:	 statistic= -11.482198899044826;	 p_value= 2.5466648258971385e-30;
EVENTS VS PARENTING:	 statistic= -11.950472369528642;	 p_value= 8.522750008069857e-33;
EVENTS VS PERSONALIZATION:	 statistic= -11.430316383875763;	 p_value= 4.077816287263066e-30;
EVENTS VS PHOTOGRAPHY:	 statistic= 9.219390857052794;	 p_value= 3.6698709804888827e-20;
EVENTS VS PRODUCTIVITY:	 statistic= -7.182642436128009;	 p_value= 7.345553080607697e-13;
EVENTS VS SHOPPING:	 statistic= 6.472373961111217;	 p_value= 1.0136606302070025e-10;
EVENTS VS SOCIAL:	 statistic= 11.996280159365929;	 p_value= 6.232731043500017e-33;
EVENTS VS SPORTS:	 statistic= -5.090580443331931;	 p_value= 3.614306500955441e-07;
